activity_key,week,activity_type,title,required,graded,points,due_day,pedagogical_intent
A01,1,orientation,学習目標と進め方の確認,yes,no,0,none,学習の見通しを持つ
A02,1,material,概念解説を読む,yes,no,0,none,基礎概念を獲得する
A03,1,quiz,理解確認クイズ,yes,yes,5,Sunday,誤概念を早期に確認する
A04,2,material,事例動画を視聴する,yes,no,0,none,概念を具体例と結びつける
A05,2,forum,事例への見解を投稿する,yes,yes,5,Sunday,複数の見方を比較する
A06,2,assignment,短い振り返りを書く,yes,yes,10,Sunday,自分の理解を言語化する
A07,3,material,応用課題の説明を読む,yes,no,0,none,課題の要件を理解する
A08,3,workshop,同期ワークショップに参加する,no,no,0,Wednesday,協働で問いを精緻化する
A09,3,assignment,中間課題を提出する,yes,yes,20,Sunday,概念を実際の課題へ適用する
A10,4,feedback,中間課題のフィードバックを読む,yes,no,0,none,改善点を次の学習へつなげる
A11,4,material,発展資料を選んで読む,no,no,0,none,関心に応じて理解を広げる
A12,4,quiz,再確認クイズ,yes,yes,5,Sunday,理解の修正を確認する
A13,5,case,複合事例を分析する,yes,no,0,none,複数の観点を統合する
A14,5,forum,分析方針を相互検討する,yes,yes,5,Sunday,根拠と反例を吟味する
A15,5,assignment,最終課題案を提出する,yes,yes,15,Sunday,形成的フィードバックを得る
A16,6,feedback,相互フィードバックを行う,yes,yes,10,Wednesday,評価基準を用いて改善する
A17,6,assignment,最終課題を提出する,yes,yes,30,Sunday,学習成果を統合して示す
A18,6,reflection,学習プロセスを振り返る,yes,no,0,Sunday,今後の学習方略を計画する
